env_id,H,W,density,planner,connectivity,ilp_status,ilp_obj,ilp_time_sec,cose_size,cose_time_sec,gap,shap_calls,cose_calls
1,20,20,0.2,a_star,8,Optimal,1.0,0.6899844389990903,1,0.01509944700228516,0,320,3
2,20,20,0.2,a_star,8,Optimal,1.0,0.6615407380013494,1,0.004242190996592399,0,240,3
3,20,20,0.2,a_star,8,Optimal,1.0,0.6984487760055345,1,0.0057223480034735985,0,160,3
4,20,20,0.2,a_star,8,Optimal,1.0,0.6625699970027199,1,0.016681433997291606,0,200,3
5,20,20,0.2,a_star,8,Optimal,1.0,0.6604343740036711,1,0.0019443260025582276,0,240,3
6,20,20,0.2,a_star,8,Optimal,1.0,0.6950813530056621,1,0.0054895650027901866,0,240,3
