env_id,H,W,density,planner,connectivity,ilp_status,ilp_obj,ilp_time_sec,cose_size,cose_time_sec,gap,shap_calls,cose_calls
1,20,20,0.2,a_star,8,Optimal,1.0,0.7794262249954045,1,0.01664963737130165,0,400,3
2,20,20,0.2,a_star,8,Optimal,1.0,0.719988043885678,1,0.0019125626422464848,0,480,3
3,20,20,0.2,a_star,8,Optimal,1.0,0.7563326968811452,1,0.019904907792806625,0,560,3
4,20,20,0.2,a_star,8,Optimal,1.0,0.7421242645941675,1,0.01948795933276415,0,480,3
5,20,20,0.2,a_star,8,Optimal,1.0,0.7315336409956217,1,0.006373247131705284,0,480,3
6,20,20,0.2,a_star,8,Optimal,1.0,0.8045136420987546,1,0.01566445780918002,0,480,3
7,20,20,0.2,a_star,8,Optimal,1.0,0.7671472411602736,1,0.017745295073837042,0,400,3
8,20,20,0.2,a_star,8,Optimal,1.0,0.8361230678856373,1,0.004476768895983696,0,560,3
9,20,20,0.2,a_star,8,Optimal,1.0,0.7351629347540438,1,0.017389490269124508,0,480,3
10,20,20,0.2,a_star,8,Optimal,1.0,0.7362042320892215,1,0.015520157292485237,0,560,3
11,20,20,0.2,a_star,8,Optimal,1.0,0.8090300299227238,1,0.015027530957013369,0,560,3
12,20,20,0.2,a_star,8,Optimal,1.0,0.7528322879225016,1,0.008408751804381609,0,480,3
13,20,20,0.2,a_star,8,Optimal,1.0,0.7522949199192226,1,0.018685332033783197,0,400,3
