env_id,H,W,density,planner,method,perturbation,kmax,kendall_tau,jaccard_topk,cose_jaccard,calls_base,time_base,calls_pert,time_pert
1,30,30,0.2,a_star,shap,jitter,5,1.0,0.6666666666666666,,1300,13.202171755954623,450,1.5442840629257262
1,30,30,0.2,a_star,lime,jitter,5,0.07142857142857142,0.25,,500,6.439996256027371,250,1.0646114549599588
1,30,30,0.2,a_star,rand,jitter,5,-0.07142857142857142,0.1111111111111111,,0,0.00016300473362207413,0,0.00010212976485490799
1,30,30,0.2,a_star,geodesic,jitter,5,-0.07142857142857142,0.25,,0,0.0006621619686484337,0,0.0005800682120025158
1,30,30,0.2,a_star,cose,jitter,,,,0.0,3,0.03649491211399436,1,0.004446862265467644
1,30,30,0.2,a_star,shap,dilate,5,0.0,0.8,,1300,13.202171755954623,250,2.0379513609223068
1,30,30,0.2,a_star,lime,dilate,5,0.6666666666666666,0.125,,500,6.439996256027371,250,2.687193240970373
1,30,30,0.2,a_star,rand,dilate,5,0.3333333333333333,0.125,,0,0.00016300473362207413,0,0.00010947464033961296
1,30,30,0.2,a_star,geodesic,dilate,5,-0.3333333333333333,0.125,,0,0.0006621619686484337,0,0.0005788970738649368
1,30,30,0.2,a_star,cose,dilate,,,,0.0,3,0.03649491211399436,12,0.1052765347994864
1,30,30,0.2,a_star,shap,erode,5,1.0,0.6666666666666666,,1300,13.202171755954623,600,1.3893262702040374
1,30,30,0.2,a_star,lime,erode,5,0.12727272727272726,0.42857142857142855,,500,6.439996256027371,250,0.6596753699705005
1,30,30,0.2,a_star,rand,erode,5,0.5636363636363636,0.42857142857142855,,0,0.00016300473362207413,0,0.00010562827810645103
1,30,30,0.2,a_star,geodesic,erode,5,-0.2727272727272727,0.1111111111111111,,0,0.0006621619686484337,0,0.0006150207482278347
1,30,30,0.2,a_star,cose,erode,,,,0.0,3,0.03649491211399436,1,0.003426157869398594
1,30,30,0.2,a_star,shap,distractors,5,0.6666666666666666,0.6666666666666666,,1300,13.202171755954623,800,7.949381252750754
