env_id,H,W,density,planner,connectivity,ilp_status,ilp_obj,ilp_time_sec,cose_size,cose_time_sec,gap,shap_calls,cose_calls
1,20,20,0.2,a_star,8,Optimal,1.0,0.7753436849452555,1,0.0036481721326708794,0,480,3
2,20,20,0.2,a_star,8,Optimal,1.0,0.789256882853806,1,0.017720603849738836,0,480,3
3,20,20,0.2,a_star,8,Optimal,1.0,0.7691649738699198,1,0.018208531197160482,0,480,3
4,20,20,0.2,a_star,8,Optimal,1.0,0.7310894038528204,1,0.005514763295650482,0,560,3
5,20,20,0.2,a_star,8,Optimal,1.0,0.785665272269398,1,0.016546675004065037,0,480,3
6,20,20,0.2,a_star,8,Optimal,1.0,0.8323164768517017,1,0.004591139033436775,0,320,3
7,20,20,0.2,a_star,8,Optimal,1.0,0.7109297378920019,1,0.015884277876466513,0,560,3
8,20,20,0.2,a_star,8,Optimal,1.0,0.7476190309971571,1,0.015458352863788605,0,480,3
9,20,20,0.2,a_star,8,Optimal,1.0,0.7180173210799694,1,0.007679441012442112,0,480,3
10,20,20,0.2,a_star,8,Optimal,1.0,0.7271142420358956,1,0.017594383098185062,0,400,3
11,20,20,0.2,a_star,8,Optimal,1.0,0.7524860450066626,1,0.016541379038244486,0,400,3
12,20,20,0.2,a_star,8,Optimal,1.0,0.7347743469290435,1,0.004924478940665722,0,560,3
13,20,20,0.2,a_star,8,Optimal,1.0,0.7443065829575062,1,0.007159064058214426,0,560,3
