env_id,H,W,density,planner,connectivity,ilp_status,ilp_obj,ilp_time_sec,cose_size,cose_time_sec,gap,shap_calls,cose_calls
1,20,20,0.2,a_star,8,Optimal,1.0,0.7606376758776605,1,0.011260895058512688,0,320,3
2,20,20,0.2,a_star,8,Optimal,1.0,0.7341658379882574,1,0.020183231215924025,0,400,3
3,20,20,0.2,a_star,8,Optimal,1.0,0.7612967249006033,1,0.018959050066769123,0,320,3
4,20,20,0.2,a_star,8,Optimal,1.0,0.71683733118698,1,0.01687927870079875,0,400,3
5,20,20,0.2,a_star,8,Optimal,1.0,0.7471298757009208,1,0.0030421409755945206,0,480,3
6,20,20,0.2,a_star,8,Optimal,1.0,0.7690313928760588,1,0.018098009284585714,0,560,3
7,20,20,0.2,a_star,8,Optimal,1.0,0.7691824967041612,1,0.005623628851026297,0,400,3
8,20,20,0.2,a_star,8,Optimal,1.0,0.7468849862925708,1,0.021015272941440344,0,400,3
9,20,20,0.2,a_star,8,Optimal,2.0,0.8078514686785638,2,0.017593583092093468,0,560,5
10,20,20,0.2,a_star,8,Optimal,1.0,0.7347079059109092,1,0.017319840844720602,0,560,3
11,20,20,0.2,a_star,8,Optimal,1.0,0.7235779990442097,1,0.006045295856893063,0,480,3
12,20,20,0.2,a_star,8,Optimal,1.0,0.718655604403466,1,0.0019172588363289833,0,560,3
13,20,20,0.2,a_star,8,Optimal,1.0,0.7314368989318609,1,0.00943991681560874,0,560,3
