env_id,H,W,density,planner,connectivity,ilp_status,ilp_obj,ilp_time_sec,cose_size,cose_time_sec,gap,shap_calls,cose_calls
1,20,20,0.2,a_star,8,Optimal,1.0,0.7602334260009229,1,0.01615588692948222,0,640,3
2,20,20,0.2,a_star,8,Optimal,1.0,0.7259481218643486,1,0.017073838971555233,0,560,3
3,20,20,0.2,a_star,8,Optimal,1.0,0.771291736047715,1,0.016800247132778168,0,480,3
4,20,20,0.2,a_star,8,Optimal,1.0,0.781696017831564,1,0.017788185738027096,0,480,3
5,20,20,0.2,a_star,8,Optimal,1.0,0.8391514760442078,1,0.018115838058292866,0,480,3
6,20,20,0.2,a_star,8,Optimal,1.0,0.747590659186244,1,0.01714521273970604,0,720,3
7,20,20,0.2,a_star,8,Optimal,1.0,0.7196063580922782,1,0.0018967329524457455,0,320,3
8,20,20,0.2,a_star,8,Optimal,1.0,0.7698607333004475,1,0.016153565142303705,0,560,3
9,20,20,0.2,a_star,8,Optimal,1.0,0.7368733398616314,1,0.017688870895653963,0,400,3
10,20,20,0.2,a_star,8,Optimal,1.0,0.7529662908054888,1,0.004376708995550871,0,720,3
11,20,20,0.2,a_star,8,Optimal,1.0,0.7616017172113061,1,0.014933868777006865,0,480,3
12,20,20,0.2,a_star,8,Optimal,1.0,0.7398447967134416,1,0.005264601670205593,0,320,3
13,20,20,0.2,a_star,8,Optimal,1.0,0.7355748466216028,1,0.016811877954751253,0,400,3
