env_id,H,W,density,planner,connectivity,ilp_status,ilp_obj,ilp_time_sec,cose_size,cose_time_sec,gap,shap_calls,cose_calls
1,20,20,0.2,a_star,8,Optimal,1.0,0.7651269030757248,1,0.0017595691606402397,0,400,3
2,20,20,0.2,a_star,8,Optimal,1.0,0.7308711768127978,1,0.002999326214194298,0,480,3
3,20,20,0.2,a_star,8,Optimal,1.0,0.8206466161645949,1,0.005012718960642815,0,560,3
4,20,20,0.2,a_star,8,Optimal,1.0,0.7573955482803285,1,0.005700879264622927,0,800,3
5,20,20,0.2,a_star,8,Optimal,1.0,0.7612347370013595,1,0.014172892086207867,0,640,3
6,20,20,0.2,a_star,8,Optimal,1.0,0.7409413000568748,1,0.01407278561964631,0,400,3
7,20,20,0.2,a_star,8,Optimal,1.0,0.7294164579361677,1,0.016824247781187296,0,560,3
8,20,20,0.2,a_star,8,Optimal,1.0,0.7558684260584414,1,0.004400012083351612,0,560,3
9,20,20,0.2,a_star,8,Optimal,1.0,0.758059314917773,1,0.020567251835018396,0,560,3
10,20,20,0.2,a_star,8,Optimal,1.0,0.7515777531079948,1,0.015948721207678318,0,560,3
11,20,20,0.2,a_star,8,Optimal,1.0,0.7536467961035669,1,0.015887608751654625,0,320,3
12,20,20,0.2,a_star,8,Optimal,1.0,0.7493953527882695,1,0.007055745925754309,0,480,3
13,20,20,0.2,a_star,8,Optimal,1.0,0.7214656830765307,1,0.005918707698583603,0,400,3
