env_id,H,W,density,planner,connectivity,ilp_status,ilp_obj,ilp_time_sec,cose_size,cose_time_sec,gap,shap_calls,cose_calls
1,20,20,0.2,a_star,8,Optimal,1.0,0.7654776149429381,1,0.016369448974728584,0,400,3
2,20,20,0.2,a_star,8,Optimal,1.0,0.7778689959086478,1,0.018209016881883144,0,240,3
3,20,20,0.2,a_star,8,Optimal,1.0,0.7454694206826389,1,0.015374460257589817,0,400,3
4,20,20,0.2,a_star,8,Optimal,1.0,0.7203920646570623,1,0.002901878207921982,0,640,3
5,20,20,0.2,a_star,8,Optimal,1.0,0.7363383895717561,1,0.016626606695353985,0,560,3
6,20,20,0.2,a_star,8,Optimal,1.0,0.731735953129828,1,0.015992844011634588,0,400,3
7,20,20,0.2,a_star,8,Optimal,1.0,0.7864829790778458,1,0.002065937966108322,0,400,3
8,20,20,0.2,a_star,8,Optimal,1.0,0.7215906516648829,1,0.01477334089577198,0,640,3
9,20,20,0.2,a_star,8,Optimal,1.0,0.7188146109692752,1,0.0058423238806426525,0,480,3
10,20,20,0.2,a_star,8,Optimal,1.0,0.8125985618680716,1,0.0066910600289702415,0,480,3
11,20,20,0.2,a_star,8,Optimal,1.0,0.7285962551832199,1,0.0017787739634513855,0,480,3
12,20,20,0.2,a_star,8,Optimal,1.0,0.7404221529141068,1,0.004306226037442684,0,480,3
13,20,20,0.2,a_star,8,Optimal,1.0,0.7494106399826705,1,0.0017475276254117489,0,320,3
