env_id,H,W,density,planner,connectivity,ilp_status,ilp_obj,ilp_time_sec,cose_size,cose_time_sec,gap,shap_calls,cose_calls
1,20,20,0.2,a_star,8,Optimal,1.0,0.73678974295035,1,0.015153202693909407,0,640,3
2,20,20,0.2,a_star,8,Optimal,1.0,0.7137912954203784,1,0.006053247954696417,0,400,3
3,20,20,0.2,a_star,8,Optimal,1.0,0.7476984690874815,1,0.004547726362943649,0,640,3
4,20,20,0.2,a_star,8,Optimal,1.0,0.7446668189950287,1,0.015556944999843836,0,480,3
5,20,20,0.2,a_star,8,Optimal,1.0,0.7207750943489373,1,0.0017395648173987865,0,400,3
6,20,20,0.2,a_star,8,Optimal,1.0,0.7834495739080012,1,0.0019246479496359825,0,480,3
7,20,20,0.2,a_star,8,Optimal,1.0,0.7413629018701613,1,0.016700700856745243,0,480,3
8,20,20,0.2,a_star,8,Optimal,1.0,0.7191578387282789,1,0.0023209862411022186,0,320,3
9,20,20,0.2,a_star,8,Optimal,1.0,0.7343894420191646,1,0.004683916922658682,0,720,3
10,20,20,0.2,a_star,8,Optimal,1.0,0.7578199561685324,1,0.015686071012169123,0,400,3
11,20,20,0.2,a_star,8,Optimal,1.0,0.7328189080581069,1,0.005512584000825882,0,560,3
12,20,20,0.2,a_star,8,Optimal,1.0,0.799969700165093,1,0.00237277802079916,0,240,3
13,20,20,0.2,a_star,8,Optimal,1.0,0.7418224979192019,1,0.006268633995205164,0,320,3
