env_id,H,W,density,planner_A,planner_B,method,kmax,transfer_success_at_k,transfer_auc_s_at_k,overlap_topk,kendall_tau,calls_A,time_A,calls_B,time_B
1,20,20,0.1,a_star,dijkstra,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,1.869688712991774,400,2.6831661500036716
1,20,20,0.1,a_star,dijkstra,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,0.3333333333333333,500,2.9767427584156394,500,3.2259192392230034
1,20,20,0.1,a_star,dijkstra,rand,3,"{1: 0, 2: 0, 3: 1}",0.3333333333333333,1.0,-1.0,0,0.0001336340792477131,0,8.529983460903168e-05
1,20,20,0.1,a_star,dijkstra,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.0004460983909666538,0,0.0003503127954900265
1,20,20,0.1,a_star,bfs,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,1.7113783499225974,400,2.0507019199430943
1,20,20,0.1,a_star,bfs,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,500,2.974282432347536,500,2.5859608352184296
1,20,20,0.1,a_star,bfs,rand,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,-1.0,0,0.00012965919449925423,0,8.96030105650425e-05
1,20,20,0.1,a_star,bfs,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.0003973483107984066,0,0.000363130122423172
1,20,20,0.1,a_star,dfs,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,1.7377778692170978,400,1.0880140839144588
1,20,20,0.1,a_star,dfs,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,500,3.016629682853818,500,1.7398735261522233
1,20,20,0.1,a_star,dfs,rand,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.00012025190517306328,0,7.8574288636446e-05
1,20,20,0.1,a_star,dfs,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.000405753031373024,0,0.00035441992804408073
1,20,20,0.1,a_star,theta_star,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,1.671702858991921,400,2.609868017025292
1,20,20,0.1,a_star,theta_star,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,500,3.1543490663170815,500,4.5783490422181785
1,20,20,0.1,a_star,theta_star,rand,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,-0.3333333333333333,0,0.00012326007708907127,0,7.742829620838165e-05
1,20,20,0.1,a_star,theta_star,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.000415656715631485,0,0.00035087577998638153
1,20,20,0.1,dijkstra,a_star,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,2.6289364732801914,400,1.7046871362254024
1,20,20,0.1,dijkstra,a_star,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,500,2.9822634630836546,500,2.7737707402557135
1,20,20,0.1,dijkstra,a_star,rand,3,"{1: 0, 2: 0, 3: 1}",0.3333333333333333,1.0,1.0,0,0.00011848611757159233,0,6.728991866111755e-05
1,20,20,0.1,dijkstra,a_star,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.00035240501165390015,0,0.0002954639494419098
1,20,20,0.1,dijkstra,bfs,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,2.435442860238254,400,1.9351778128184378
1,20,20,0.1,dijkstra,bfs,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,500,2.9804488299414515,500,2.3689608038403094
1,20,20,0.1,dijkstra,bfs,rand,3,"{1: 0, 2: 0, 3: 1}",0.3333333333333333,1.0,-1.0,0,0.00010750396177172661,0,7.058493793010712e-05
1,20,20,0.1,dijkstra,bfs,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.00034532928839325905,0,0.00029132794588804245
1,20,20,0.1,dijkstra,dfs,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,2.4450118760578334,400,0.9751918949186802
1,20,20,0.1,dijkstra,dfs,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,0.3333333333333333,500,3.024415761232376,500,1.6650410280562937
1,20,20,0.1,dijkstra,dfs,rand,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,0,0.0001056920737028122,0,6.72750174999237e-05
1,20,20,0.1,dijkstra,dfs,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.00033836718648672104,0,0.0002911197952926159
1,20,20,0.1,dijkstra,theta_star,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,2.437287666834891,400,2.3586582080461085
1,20,20,0.1,dijkstra,theta_star,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,500,2.9833824182860553,500,3.8857260323129594
1,20,20,0.1,dijkstra,theta_star,rand,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,-0.3333333333333333,0,0.00010432116687297821,0,6.769225001335144e-05
1,20,20,0.1,dijkstra,theta_star,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.00035039568319916725,0,0.00029158685356378555
1,20,20,0.1,bfs,a_star,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,1.9316256120800972,400,1.5587067902088165
1,20,20,0.1,bfs,a_star,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,0.3333333333333333,500,2.597514625173062,500,2.866372657008469
1,20,20,0.1,bfs,a_star,rand,3,"{1: 0, 2: 0, 3: 1}",0.3333333333333333,1.0,0.3333333333333333,0,0.0001286710612475872,0,7.017701864242554e-05
1,20,20,0.1,bfs,a_star,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.0003466811031103134,0,0.00033191731199622154
1,20,20,0.1,bfs,dijkstra,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,1.9634891208261251,400,2.481163163203746
1,20,20,0.1,bfs,dijkstra,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,500,2.4037171988748014,500,3.02681381162256
1,20,20,0.1,bfs,dijkstra,rand,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,-0.3333333333333333,0,0.00012683216482400894,0,7.069716230034828e-05
1,20,20,0.1,bfs,dijkstra,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.00040740007534623146,0,0.00029495730996131897
1,20,20,0.1,bfs,dfs,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,1.9702574256807566,400,1.0059473933652043
1,20,20,0.1,bfs,dfs,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,500,2.447032982017845,500,1.6403772137127817
1,20,20,0.1,bfs,dfs,rand,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,0.3333333333333333,0,0.0001622326672077179,0,7.248669862747192e-05
1,20,20,0.1,bfs,dfs,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.0004398641176521778,0,0.0002952050417661667
1,20,20,0.1,bfs,theta_star,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,1.9650292042642832,400,2.4555644001811743
1,20,20,0.1,bfs,theta_star,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,500,2.4042620416730642,500,4.067182724364102
1,20,20,0.1,bfs,theta_star,rand,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,-0.3333333333333333,0,0.0001664985902607441,0,7.176399230957031e-05
1,20,20,0.1,bfs,theta_star,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.00036104628816246986,0,0.00028939032927155495
1,20,20,0.1,dfs,a_star,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,1.014258367009461,400,1.5595302837900817
1,20,20,0.1,dfs,a_star,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,0.3333333333333333,500,1.7091735173016787,500,2.7410225328058004
1,20,20,0.1,dfs,a_star,rand,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,-1.0,0,0.00013307994231581688,0,6.932392716407776e-05
1,20,20,0.1,dfs,a_star,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.00034548109397292137,0,0.0002899882383644581
1,20,20,0.1,dfs,dijkstra,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,0.9786671879701316,400,2.4780694525688887
1,20,20,0.1,dfs,dijkstra,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,500,1.748910583090037,500,3.035435938742012
1,20,20,0.1,dfs,dijkstra,rand,3,"{1: 0, 2: 0, 3: 1}",0.3333333333333333,1.0,-0.3333333333333333,0,0.00012800423428416252,0,6.963592022657394e-05
1,20,20,0.1,dfs,dijkstra,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.00034055206924676895,0,0.00028826016932725906
1,20,20,0.1,dfs,bfs,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,1.0400307048112154,400,1.9660920221358538
1,20,20,0.1,dfs,bfs,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,500,1.663942962884903,500,2.4088222170248628
1,20,20,0.1,dfs,bfs,rand,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,-1.0,0,0.00014409003779292107,0,7.24489800632e-05
1,20,20,0.1,dfs,bfs,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.00036658020690083504,0,0.00029132189229130745
1,20,20,0.1,dfs,theta_star,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,1.0949907531030476,400,2.352980643045157
1,20,20,0.1,dfs,theta_star,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,0.3333333333333333,500,1.6976841380819678,500,4.255017016083002
1,20,20,0.1,dfs,theta_star,rand,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,0,0.00018951669335365295,0,7.429905235767365e-05
1,20,20,0.1,dfs,theta_star,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.00048557715490460396,0,0.00029562413692474365
1,20,20,0.1,theta_star,a_star,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,2.290030003990978,400,1.5300929457880557
1,20,20,0.1,theta_star,a_star,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,0.3333333333333333,500,4.082386888097972,500,2.5574549781158566
1,20,20,0.1,theta_star,a_star,rand,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,0,0.00011123064905405045,0,6.958004087209702e-05
1,20,20,0.1,theta_star,a_star,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.00033643096685409546,0,0.0002883570268750191
1,20,20,0.1,theta_star,dijkstra,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,2.4022011277265847,400,2.440826551988721
1,20,20,0.1,theta_star,dijkstra,lime,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,500,3.985376990865916,500,2.988319065887481
1,20,20,0.1,theta_star,dijkstra,rand,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,0.3333333333333333,0,0.00014050118625164032,0,6.949901580810547e-05
1,20,20,0.1,theta_star,dijkstra,geodesic,3,"{1: 0, 2: 1, 3: 1}",0.6666666666666666,1.0,1.0,0,0.0003425842151045799,0,0.0002889959141612053
1,20,20,0.1,theta_star,bfs,shap,3,"{1: 1, 2: 1, 3: 1}",1.0,1.0,1.0,400,2.2742308410815895,400,1.9350494807586074
