env_id,H,W,density,planner_A,planner_B,method,kmax,transfer_success_at_k,transfer_auc_s_at_k,overlap_topk,kendall_tau,calls_A,time_A,calls_B,time_B
1,20,20,0.1,a_star,dijkstra,shap,2,"{1: 1, 2: 1}",1.0,1.0,1.0,300,0.08816464012488723,300,0.9663937417790294
1,20,20,0.1,a_star,dijkstra,lime,2,"{1: 1, 2: 1}",1.0,1.0,1.0,500,0.09761034790426493,500,0.9238778748549521
1,20,20,0.1,a_star,dijkstra,rand,2,"{1: 0, 2: 1}",0.5,1.0,-1.0,0,0.00012124329805374146,0,7.483689114451408e-05
1,20,20,0.1,a_star,dijkstra,geodesic,2,"{1: 1, 2: 1}",1.0,1.0,1.0,0,0.00036368006840348244,0,0.00032974593341350555
1,20,20,0.1,a_star,bfs,shap,2,"{1: 1, 2: 1}",1.0,1.0,1.0,300,0.08928560512140393,300,0.7535767899826169
1,20,20,0.1,a_star,bfs,lime,2,"{1: 1, 2: 1}",1.0,1.0,1.0,500,0.10823575966060162,500,0.85091264359653
1,20,20,0.1,a_star,bfs,rand,2,"{1: 1, 2: 1}",1.0,1.0,-1.0,0,0.00011313473805785179,0,6.747478619217873e-05
1,20,20,0.1,a_star,bfs,geodesic,2,"{1: 1, 2: 1}",1.0,1.0,1.0,0,0.0003583240322768688,0,0.00027996674180030823
1,20,20,0.1,a_star,dfs,shap,2,"{1: 1, 2: 1}",1.0,1.0,1.0,300,0.09261940931901336,300,0.05843983497470617
1,20,20,0.1,a_star,dfs,lime,2,"{1: 1, 2: 1}",1.0,1.0,1.0,500,0.09972546761855483,500,0.055630370043218136
1,20,20,0.1,a_star,dfs,rand,2,"{1: 0, 2: 1}",0.5,1.0,1.0,0,8.641276508569717e-05,0,6.803218275308609e-05
1,20,20,0.1,a_star,dfs,geodesic,2,"{1: 1, 2: 1}",1.0,1.0,1.0,0,0.0003193453885614872,0,0.0002801157534122467
1,20,20,0.1,a_star,theta_star,shap,2,"{1: 1, 2: 1}",1.0,1.0,1.0,300,0.0919323512353003,300,0.12684428179636598
1,20,20,0.1,a_star,theta_star,lime,2,"{1: 1, 2: 1}",1.0,1.0,1.0,500,0.09170185588300228,500,0.1370993610471487
1,20,20,0.1,a_star,theta_star,rand,2,"{1: 1, 2: 1}",1.0,1.0,-1.0,0,0.00010238774120807648,0,6.703799590468407e-05
1,20,20,0.1,a_star,theta_star,geodesic,2,"{1: 1, 2: 1}",1.0,1.0,1.0,0,0.0003482438623905182,0,0.00027914904057979584
1,20,20,0.1,dijkstra,a_star,shap,2,"{1: 1, 2: 1}",1.0,1.0,1.0,300,0.9484128258191049,300,0.09110752213746309
1,20,20,0.1,dijkstra,a_star,lime,2,"{1: 1, 2: 1}",1.0,1.0,1.0,500,0.8893027040176094,500,0.09962897514924407
1,20,20,0.1,dijkstra,a_star,rand,2,"{1: 1, 2: 1}",1.0,1.0,1.0,0,0.00011888006702065468,0,6.713112816214561e-05
1,20,20,0.1,dijkstra,a_star,geodesic,2,"{1: 1, 2: 1}",1.0,1.0,1.0,0,0.00039139483124017715,0,0.000280007254332304
1,20,20,0.1,dijkstra,bfs,shap,2,"{1: 1, 2: 1}",1.0,1.0,1.0,300,0.9858195288106799,300,0.7243250240571797
1,20,20,0.1,dijkstra,bfs,lime,2,"{1: 1, 2: 1}",1.0,1.0,1.0,500,0.9101423430256546,500,0.8076988030225039
1,20,20,0.1,dijkstra,bfs,rand,2,"{1: 1, 2: 1}",1.0,1.0,-1.0,0,0.00011713709682226181,0,6.979284808039665e-05
1,20,20,0.1,dijkstra,bfs,geodesic,2,"{1: 1, 2: 1}",1.0,1.0,1.0,0,0.00035852938890457153,0,0.0002823183313012123
1,20,20,0.1,dijkstra,dfs,shap,2,"{1: 1, 2: 1}",1.0,1.0,1.0,300,0.9458593581803143,300,0.06345883989706635
1,20,20,0.1,dijkstra,dfs,lime,2,"{1: 1, 2: 1}",1.0,1.0,1.0,500,0.9175202818587422,500,0.053226017858833075
1,20,20,0.1,dijkstra,dfs,rand,2,"{1: 1, 2: 1}",1.0,1.0,-1.0,0,9.047612547874451e-05,0,6.726477295160294e-05
1,20,20,0.1,dijkstra,dfs,geodesic,2,"{1: 1, 2: 1}",1.0,1.0,1.0,0,0.0003257701173424721,0,0.00027827080339193344
1,20,20,0.1,dijkstra,theta_star,shap,2,"{1: 1, 2: 1}",1.0,1.0,1.0,300,0.9248462459072471,300,0.13123864773660898
1,20,20,0.1,dijkstra,theta_star,lime,2,"{1: 1, 2: 1}",1.0,1.0,1.0,500,0.9358878270722926,500,0.13412740686908364
1,20,20,0.1,dijkstra,theta_star,rand,2,"{1: 0, 2: 1}",0.5,1.0,1.0,0,9.323982521891594e-05,0,6.711715832352638e-05
1,20,20,0.1,dijkstra,theta_star,geodesic,2,"{1: 1, 2: 1}",1.0,1.0,1.0,0,0.0003256159834563732,0,0.00030691688880324364
1,20,20,0.1,bfs,a_star,shap,2,"{1: 1, 2: 1}",1.0,1.0,1.0,300,0.7500664140097797,300,0.0909898946993053
